127.0.0.1 - - [15/Jan/2021:09:15:20 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:15:20 +0900] "GET /UI01_HTML/ HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:15:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:15:22 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:18:42 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:20:16 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 200 803
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:20:16 +0900] "GET /UI01_HTML/resources/img/img01.jpg HTTP/1.1" 200 42878
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:20:30 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 200 751
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:28:27 +0900] "GET /UI01_HTML/resources/img/img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:29:14 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 200 750
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:29:14 +0900] "GET /UI01_HTML/resources/img/img0.jpg HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:33:57 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 200 1116
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:33:57 +0900] "GET /UI01_HTML/resources/img/img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:34:12 +0900] "GET /UI01_HTML/index.html HTTP/1.1" 200 558
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:34:14 +0900] "GET /UI01_HTML/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:34:31 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 200 1099
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:34:32 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:36:47 +0900] "GET /UI01_HTML/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:36:47 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:36:47 +0900] "GET /UI01_HTML/resources/img/img01.hpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:37:02 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:37:02 +0900] "GET /UI01_HTML/resources/img/img01.hpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:37:02 +0900] "GET /UI01_HTML/resources/img/img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:37:05 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:37:05 +0900] "GET /UI01_HTML/resources/img/img01.hpg HTTP/1.1" 404 852
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:37:08 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:37:13 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:50:14 +0900] "GET /UI01_HTML/html04-text-img.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:50:14 +0900] "GET /UI01_HTML/resources/img/img01.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:50:22 +0900] "GET /UI01_HTML/index.html HTTP/1.1" 200 603
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:50:23 +0900] "GET /UI01_HTML/html05-a.html HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:50:25 +0900] "GET /UI01_HTML/www.naver.com HTTP/1.1" 404 834
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:50:52 +0900] "GET /UI01_HTML/html05-a.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:50:53 +0900] "GET /UI01_HTML/http//:www.naver.com HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:51:57 +0900] "GET /UI01_HTML/http//:www.naver.com HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:51:58 +0900] "GET /UI01_HTML/http//:www.naver.com HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [15/Jan/2021:09:52:00 +0900] "GET /UI01_HTML/html05-a.html HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:05:48 +0900] "GET /UI01_HTML/html05-a.html HTTP/1.1" 200 1941
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:05:53 +0900] "GET /UI01_HTML/html05-a.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:14:38 +0900] "GET /UI01_HTML/html05-a.html HTTP/1.1" 200 2474
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:14:40 +0900] "GET /UI01_HTML/index.html HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:14:41 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 200 477
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:20:16 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 200 494
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:44 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:45 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:45 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:45 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:46 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:46 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:46 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:46 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:46 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:46 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:47 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Jan/2021:10:22:51 +0900] "GET /UI01_HTML/html06-list.html HTTP/1.1" 200 838
